"date","SP500","PctReturn","ndays","dayofweek"
2000-11-20,1342.62,-0.0186947907822021,3,1
2000-11-21,1347.35,0.00351059487141427,1,2
2000-11-22,1322.36,-0.0188980307934299,1,3
2000-11-24,1341.77,0.0144659665963616,2,5
2000-11-27,1348.97,0.00533740557610625,3,1
2000-11-28,1336.09,-0.00964006915701795,1,2
2000-11-29,1341.93,0.0043519408612969,1,3
2000-11-30,1314.95,-0.0205178904140842,1,4
2000-12-01,1315.23,0.00021289052104953,1,5
2000-12-04,1324.97,0.00735110983644913,3,1
2000-12-05,1376.54,0.0374634954305723,1,2
2000-12-06,1351.46,-0.0185577079602799,1,3
2000-12-07,1343.55,-0.00588738789029071,1,4
2000-12-08,1369.89,0.0192278212119222,1,5
2000-12-11,1380.2,0.00746993189392838,3,1
2000-12-12,1371.18,-0.00657827564579412,1,2
2000-12-13,1359.99,-0.00822800167648296,1,3
2000-12-14,1340.93,-0.0142140156458577,1,4
2000-12-15,1312.15,-0.0219334679724117,1,5
2000-12-18,1322.74,0.00800610853228897,3,1
2000-12-19,1305.6,-0.0131280637254903,1,2
2000-12-20,1264.74,-0.0323070354381137,1,3
2000-12-21,1274.86,0.00793812653938463,1,4
2000-12-22,1305.95,0.0238064244419772,1,5
2000-12-26,1315.19,0.00702560086375353,4,2
2000-12-27,1328.92,0.0103316979201156,1,3
2000-12-28,1334.22,0.00397235838167615,1,4
2000-12-29,1320.28,-0.0105583664071258,1,5
2001-01-02,1283.27,-0.0288403843306553,4,2
2001-01-03,1347.56,0.0477084508296476,1,3
2001-01-04,1333.34,-0.0106649466752666,1,4
2001-01-05,1298.35,-0.0269495898640582,1,5
2001-01-08,1295.86,-0.00192150386615839,3,1
2001-01-09,1300.8,0.00379766297662981,1,2
2001-01-10,1313.27,0.0094953817569883,1,3
2001-01-11,1326.82,0.010212387513001,1,4
2001-01-12,1318.55,-0.00627204125744187,1,5
2001-01-16,1326.65,0.00610560434176319,4,2
2001-01-17,1329.47,0.00212114602059462,1,3
2001-01-18,1347.97,0.0137243410461657,1,4
2001-01-19,1342.54,-0.00404457222876046,1,5
2001-01-22,1342.9,0.000268076550748475,3,1
2001-01-23,1360.4,0.0128638635695384,1,2
2001-01-24,1364.3,0.00285860881037885,1,3
2001-01-25,1357.51,-0.00500180477491876,1,4
2001-01-26,1354.95,-0.00188936861138783,1,5
2001-01-29,1364.17,0.0067586884332598,3,1
2001-01-30,1373.73,0.00695915500134666,1,2
2001-01-31,1366.01,-0.00565149596269429,1,3
2001-02-01,1373.47,0.00543149832176898,1,4
2001-02-02,1349.47,-0.0177847599427924,1,5
2001-02-05,1354.31,0.00357377557575438,3,1
2001-02-06,1352.26,-0.00151598065460781,1,2
2001-02-07,1340.89,-0.008479442758168,1,3
2001-02-08,1332.53,-0.00627377995242143,1,4
2001-02-09,1314.76,-0.0135157747421583,1,5
2001-02-12,1330.31,0.0116890048184257,3,1
2001-02-13,1318.8,-0.00872763117986047,1,2
2001-02-14,1315.92,-0.00218858289257697,1,3
2001-02-15,1326.61,0.00805813313633987,1,4
2001-02-16,1301.53,-0.0192696288214639,1,5
2001-02-20,1278.94,-0.0176630647254757,4,2
2001-02-21,1255.27,-0.0188565009918186,1,3
2001-02-22,1252.82,-0.00195558819303655,1,4
2001-02-23,1245.86,-0.00558650249626767,1,5
2001-02-26,1267.65,0.0171892872638348,3,1
2001-02-27,1257.94,-0.00771896910822459,1,2
2001-02-28,1239.94,-0.0145168314595868,1,3
2001-03-01,1241.23,0.00103929167035921,1,4
2001-03-02,1234.18,-0.00571229480302707,1,5
2001-03-05,1241.41,0.00582402268388366,3,1
2001-03-06,1253.8,0.00988195884511076,1,2
2001-03-07,1261.89,0.00641101839304547,1,3
2001-03-08,1264.74,0.00225342758195353,1,4
2001-03-09,1233.42,-0.0253928102349564,1,5
2001-03-12,1180.16,-0.0451294739696312,3,1
2001-03-13,1197.66,0.0146118263948032,1,2
2001-03-14,1166.71,-0.0265275861182299,1,3
2001-03-15,1173.56,0.00583694059102211,1,4
2001-03-16,1150.53,-0.0200168617941296,1,5
2001-03-19,1170.81,0.0173213416352781,3,1
2001-03-20,1142.62,-0.0246713693091317,1,2
2001-03-21,1122.14,-0.0182508421409091,1,3
2001-03-22,1117.58,-0.00408024481468904,1,4
2001-03-23,1139.83,0.0195204548046639,1,5
2001-03-26,1152.69,0.0111565121585163,3,1
2001-03-27,1182.17,0.0249371917744487,1,2
2001-03-28,1153.29,-0.0250414032897191,1,3
2001-03-29,1147.95,-0.00465177054749764,1,4
2001-03-30,1160.33,0.0106693785388638,1,5
2001-04-02,1145.87,-0.0126192325481949,3,1
2001-04-03,1106.46,-0.0356180973555301,1,2
2001-04-04,1103.25,-0.00290958531611152,1,3
2001-04-05,1151.44,0.0418519419162093,1,4
2001-04-06,1128.43,-0.0203911629432043,1,5
2001-04-09,1137.59,0.00805211016271227,3,1
